theme_zh,posts,total_engagement,avg_engagement,engagement_share
淮扬菜/苏菜,16864,269644,15.989326375711576,0.16039583229235818
古典园林,14895,240073,16.117690500167843,0.14280573143078765
水乡古镇,13582,221081,16.277499631865705,0.1315084741326595
南京历史文化,12582,201439,16.010093784771897,0.11982456891731445
江南生活美学,10597,171200,16.15551571199396,0.10183711296543486
丝绸与苏绣,9450,148657,15.730899470899471,0.08842756835340333
昆曲艺术,8264,129593,15.681631171345595,0.07708748236290655
大运河文化,7387,118290,16.01326654934344,0.0703639725039795
节庆与非遗,6224,99862,16.044665809768638,0.05940220662940571
文旅体验与服务,5155,81277,15.766634335596509,0.04834705041175029
