region,negative,neutral,positive,mean_compound
Malaysia,0.1083417375018009,0.2165394035441579,0.6751188589540412,0.31745826249819914
Australia,0.10760147601476015,0.2243542435424354,0.6680442804428044,0.3167291808118081
France,0.11276925242855132,0.211319160917922,0.6759115866535267,0.316684640292834
United Kingdom,0.11025229692285256,0.21394195712410674,0.6758057459530407,0.3161163336736182
India,0.11277658815132048,0.2107066381156317,0.6765167737330479,0.3152349892933619
Netherlands,0.11087450312322544,0.21578648495173197,0.6733390119250426,0.31408909710391825
Italy,0.11772223800056802,0.20803748934961658,0.6742402726498153,0.3137085487077535
Brazil,0.11639834734292634,0.21285083345205869,0.670750819205015,0.31316206012252457
Singapore,0.11262218444538886,0.21915285451197053,0.6682249610426406,0.313158379373849
Germany,0.11494252873563218,0.21186320420036894,0.6731942670639989,0.31278992479069107
Japan,0.11271017383870048,0.21744086634368767,0.6698489598176118,0.31192341122827016
United States,0.11436659589525831,0.216277423920736,0.6693559801840057,0.3106269355980184
Canada,0.12031029619181946,0.21382228490832159,0.665867418899859,0.30451380818053597
South Korea,0.12293211637193383,0.21177980604677696,0.6652880775812893,0.3034832572732459
Spain,0.12133468149646107,0.21435793731041455,0.6643073811931244,0.3020231113679041
