theme_zh,negative,neutral,positive,mean_compound
节庆与非遗,0.1005784061696658,0.11118251928020566,0.7882390745501285,0.4519271368894601
淮扬菜/苏菜,0.09647770398481974,0.16318785578747627,0.740334440227704,0.3721514053605313
丝绸与苏绣,0.07809523809523809,0.21544973544973545,0.7064550264550264,0.3534278412698413
昆曲艺术,0.09825750242013553,0.21200387221684414,0.6897386253630203,0.33913651984511134
大运河文化,0.10031135779071342,0.208068227968052,0.6916204142412345,0.3383155408149452
江南生活美学,0.0816268755308106,0.2534679626309333,0.6649051618382561,0.32744108710012265
古典园林,0.09855656260490098,0.24625713326619672,0.6551863041289023,0.30757602551191676
南京历史文化,0.13813384199650294,0.24558893657606104,0.616277221427436,0.2516781036401208
水乡古镇,0.15137682226476218,0.23634221764099544,0.6122809600942424,0.24423462671182447
文旅体验与服务,0.26052376333656646,0.2137730358874879,0.5257032007759457,0.0979968380213385
