theme,count,share,engagement_share
淮扬菜/苏菜,16864,0.1606095238095238,0.16039583229235818
古典园林,14895,0.14185714285714285,0.14280573143078765
水乡古镇,13582,0.12935238095238094,0.1315084741326595
南京历史文化,12582,0.11982857142857142,0.11982456891731445
江南生活美学,10597,0.10092380952380953,0.10183711296543486
丝绸与苏绣,9450,0.09,0.08842756835340333
昆曲艺术,8264,0.0787047619047619,0.07708748236290655
大运河文化,7387,0.07035238095238096,0.0703639725039795
节庆与非遗,6224,0.059276190476190475,0.05940220662940571
文旅体验与服务,5155,0.049095238095238095,0.04834705041175029
