keyword,frequency
jiangsu,36653
culture,23207
jiangnan,16621
garden,14888
canal,13708
photogenic,11700
local,11193
cultural,9864
heritage,9790
aesthetic,9607
museum,9510
elegant,9366
hospitality,8842
unforgettable,8149
blew,8038
refined,8038
charming,8008
immersive,8008
soft,8008
power,8008
real,8008
lasting,7987
impression,7987
warm,7950
highlight,7945
silk,7911
stunning,7864
encounter,7864
show,7864
overseas,7862
authentic,7862
especially,7862
nanjing,6880
house,6800
wall,6622
water,6006
seasonal,5738
boat,5729
opera,5526
city,5399
unesco,5152
explained,5102
pond,4955
town,4603
tea,4548
ticket,4537
stone,4535
bridge,4535
planning,4458
lantern,4358
